request_id,sub_trip_id,is_parent_request,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
2,1,False,BasicMultimodalRequest,1,300,300,2976,2980,,,,,218.71001463500278,1779.1452794361685,0:t_wait:68.45112096280695;t_drive:248.71001463500284;fare:177,,,0,4,368.4511209628069,617.1611355978097,,RQ_MODAL_STATE.FIRSTMILE
1,,True,BasicMultimodalRequest,1,180,180,2966,2973,,,,,296.69307469402173,2980.382453472116,0:t_wait:154.03520157294633;t_drive:326.6930746940218;fare:298,,0,0,2,334.03520157294645,660.7282762669677,298,RQ_MODAL_STATE.MONOMODAL
3,,True,BasicMultimodalRequest,1,360,360,2982,2980,,,,,158.13938860976756,1274.3900625592087,0:t_wait:52.91475150872003;t_drive:188.13938860976754;fare:127,,0.0,0,1,605.9911515087203,794.1305401184879,127.0,RQ_MODAL_STATE.MONOMODAL
4,5.0,False,BasicMultimodalRequest,1,360,360,2977,2980,,,,,188.55199336745426,1527.828435539931,0:t_wait:132.58664960817623;t_drive:301.54389051031137;fare:152,,,0,1,492.5866496081764,794.1305401184879,,RQ_MODAL_STATE.FIRSTLASTMILE
6,,True,BasicMultimodalRequest,1,840,840,2993,2988,,,,,208.72429496749368,2316.518160262808,0:t_wait:56.75290494872581;t_drive:238.72429496749362;fare:231,,0.0,0,0,896.7529049487259,1135.4771999162197,231.0,RQ_MODAL_STATE.MONOMODAL
0,4.0,False,BasicMultimodalRequest,1,180,508,2980,2977,,,,,251.03528091826004,1625.839564460069,0:t_wait:328;t_drive:281.03528091826;fare:162,,,0,1,794.1305401184879,1117.7394861796051,,RQ_MODAL_STATE.LASTMILE
9,,True,BasicMultimodalRequest,1,900,900,2976,2982,,,,,113.5625231680923,828.4892168769597,0:t_wait:157.58146491205662;t_drive:173.5625231680924;fare:100,,0,0,1,1057.5814649120566,1231.1439880801488,100,RQ_MODAL_STATE.MONOMODAL
5,4,False,BasicMultimodalRequest,1,660,1108,2980,2985,,,,,223.418547529394,1496.5056287244033,0:t_wait:448;t_drive:253.4185475293939;fare:149,,,0,4,1108,1361.4185475293934,,RQ_MODAL_STATE.LASTMILE
13,,True,BasicMultimodalRequest,1,1140,1140,2987,2984,,,,,127.4257940665604,1389.2919531006646,0:t_wait:91.64383132949115;t_drive:157.42579406656046;fare:138,,0.0,0,0,1231.6438313294914,1389.0696253960514,138.0,RQ_MODAL_STATE.MONOMODAL
8,5.0,False,BasicMultimodalRequest,1,900,900,2977,2980,,,,,188.55199336745426,1527.828435539931,0:t_wait:175.16582103674796;t_drive:218.55199336745432;fare:152,,,0,1,1117.7394861796051,1419.2833766899162,,RQ_MODAL_STATE.FIRSTLASTMILE
10,1.0,False,BasicMultimodalRequest,1,960,960,2977,2980,,,,,188.55199336745426,1527.828435539931,0:t_wait:157.73948617960536;t_drive:301.5438905103115;fare:152,,,0,1,1117.7394861796051,1419.2833766899162,,RQ_MODAL_STATE.FIRSTMILE
7,4,False,BasicMultimodalRequest,1,840,1108,2980,2973,,,,,299.1366948535655,2548.14656378234,0:t_wait:268;t_drive:359.13669485356536;fare:254,,,0,4,1108,1467.1366948535647,,RQ_MODAL_STATE.LASTMILE
